A,B,C
tcp,ftp_data,SF
udp,other,SF
tcp,private,S0
tcp,http,SF
tcp,http,SF
tcp,private,REJ
tcp,private,S0
tcp,private,S0
tcp,remote_job,S0
tcp,private,S0
tcp,private,REJ
tcp,private,S0
tcp,http,SF
tcp,ftp_data,SF
tcp,name,S0
tcp,netbios_ns,S0
tcp,http,SF
icmp,eco_i,SF
tcp,http,SF
tcp,http,SF
tcp,mtp,S0
tcp,private,S0
tcp,http,SF
udp,other,SF
tcp,mtp,S0
tcp,telnet,SF
tcp,private,S0
tcp,http,SF
tcp,http,SF
tcp,http,SF
icmp,eco_i,SF
tcp,finger,S0
tcp,http,SF
tcp,private,REJ
udp,domain_u,SF
udp,private,SF
udp,domain_u,SF
tcp,supdup,S0
tcp,http,SF
tcp,uucp_path,S0
tcp,ftp_data,S0
tcp,Z39_50,S0
tcp,smtp,SF
udp,other,SF
tcp,http,SF
tcp,csnet_ns,S0
udp,private,SF
tcp,http,SF
tcp,ftp_data,SF
tcp,ftp_data,S0
tcp,http,SF
tcp,private,REJ
udp,private,SF
tcp,http,SF
udp,domain_u,SF
udp,domain_u,SF
icmp,eco_i,SF
tcp,uucp,S0
tcp,finger,S0
udp,domain_u,SF
tcp,ftp_data,SF
tcp,private,REJ
tcp,private,REJ
tcp,http,SF
tcp,private,REJ
tcp,smtp,SF
tcp,netbios_dgm,RSTR
tcp,http,S0
tcp,netbios_dgm,REJ
tcp,supdup,S0
tcp,http,SF
tcp,private,S0
icmp,urp_i,SF
udp,domain_u,SF
tcp,private,S0
tcp,ftp_data,SF
tcp,auth,S0
tcp,http,SF
tcp,http,SF
tcp,private,REJ
tcp,http,SF
tcp,uucp_path,REJ
tcp,domain,S0
icmp,eco_i,SF
tcp,http,SF
tcp,private,S0
tcp,http,SF
tcp,ftp,S0
tcp,private,REJ
udp,other,SF
tcp,http,SF
tcp,http,SF
udp,domain_u,SF
tcp,private,REJ
tcp,csnet_ns,S0
tcp,smtp,SF
udp,other,SF
tcp,http,SF
udp,other,SF
tcp,private,S0
tcp,http,SF
tcp,http,SF
tcp,http,REJ
tcp,http,SF
udp,private,SF
tcp,http,SF
tcp,http,SF
tcp,http,SF
tcp,http,SF
tcp,http,REJ
tcp,http,SF
tcp,smtp,SF
tcp,http,REJ
tcp,http,SF
tcp,http,SF
tcp,private,RSTR
tcp,Z39_50,REJ
udp,private,SF
tcp,http,SF
tcp,http,SF
tcp,uucp_path,REJ
tcp,bgp,REJ
tcp,csnet_ns,S0
tcp,http,SF
tcp,bgp,S0
tcp,finger,SF
udp,domain_u,SF
tcp,smtp,SF
udp,domain_u,SF
tcp,ftp,SF
tcp,private,S0
tcp,ldap,REJ
tcp,http,SF
tcp,http,SF
tcp,private,S0
tcp,supdup,S0
udp,other,SF
tcp,http,SF
icmp,ecr_i,SF
tcp,private,S0
tcp,http,SF
tcp,bgp,REJ
tcp,netbios_dgm,REJ
tcp,http,SF
tcp,http,SF
tcp,http,SF
tcp,gopher,SH
tcp,http,SF
tcp,ftp_data,SF
tcp,telnet,S0
tcp,private,S0
tcp,http,SF
tcp,vmnet,S0
tcp,systat,S0
tcp,http_443,S0
udp,domain_u,SF
tcp,ftp_data,SF
tcp,efs,S0
icmp,eco_i,SF
tcp,whois,S0
tcp,http,SF
tcp,ftp_data,SF
udp,domain_u,SF
tcp,ftp_data,SF
tcp,remote_job,S0
tcp,other,RSTR
tcp,finger,SF
tcp,http,SF
tcp,ftp_data,SF
tcp,http,SF
tcp,gopher,S0
tcp,http,SF
icmp,ecr_i,SF
tcp,imap4,REJ
tcp,private,S0
tcp,whois,S0
tcp,http,REJ
tcp,other,REJ
udp,other,SF
tcp,iso_tsap,S0
icmp,ecr_i,SF
tcp,smtp,SF
tcp,ftp_data,SF
tcp,smtp,SF
udp,private,SF
tcp,ftp_data,S0
tcp,private,S0
tcp,private,S0
tcp,smtp,SF
tcp,http,SF
tcp,ftp,SF
tcp,http,SF
tcp,private,S0
tcp,echo,S0
tcp,http,SF
tcp,http,SF
tcp,ftp_data,SF
tcp,http,SF
tcp,private,REJ
tcp,http,SF
tcp,http,SF
tcp,klogin,S0
tcp,http,SF
tcp,smtp,SF
tcp,smtp,SF
tcp,smtp,SF
tcp,uucp_path,S0
tcp,http,SF
tcp,http,SF
tcp,netbios_ns,S0
tcp,private,REJ
icmp,ecr_i,SF
tcp,iso_tsap,S0
tcp,http,SF
tcp,link,S0
tcp,sunrpc,S0
tcp,http,SF
tcp,http,SF
tcp,http,SF
tcp,smtp,SF
tcp,http,SF
tcp,login,S0
tcp,ftp_data,SF
tcp,finger,S0
icmp,eco_i,SF
tcp,http,SF
tcp,http,SF
tcp,kshell,S0
tcp,ftp_data,SF
tcp,http,SF
tcp,smtp,SF
tcp,http,SF
icmp,urp_i,SF
udp,private,SF
udp,domain_u,SF
tcp,ftp,RSTO
tcp,auth,S0
tcp,kshell,S0
tcp,finger,SF
tcp,http,SF
tcp,http,SF
icmp,eco_i,SF
tcp,vmnet,S0
tcp,telnet,S0
tcp,ftp_data,S0
tcp,http,SF
tcp,private,S0
icmp,eco_i,SF
tcp,private,S0
tcp,http,SF
icmp,eco_i,SF
tcp,telnet,SF
tcp,http,SF
tcp,other,RSTR
tcp,sql_net,SH
icmp,ecr_i,SF
tcp,http,SF
tcp,http,SF
